Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
Lizard Soldier	Lizard Soldiers	0	0	0	0	0	0	150	150	176	9	0	20	7	8	9	3	6	0	0	16	25	No retaliation.
Slithzerikai	Slithzerikais	0	0	0	0	0	0	2500	4050	4050	2	0	120	5	14	18	25	40	24	0	4	10	No melee penalty. Reduce enemy defense.
Sacred Elf	Sacred Elves	0	0	0	0	0	0	500	764	918	5	0	45	12	13	10	10	10	0	0	12	20	 
Ghoul	Ghouls	0	0	0	0	0	0	140	170	135	8	0	25	6	5	5	2	4	0	0	16	25	Undead. Disease. Flesheater.
Crimson Dragon	Crimson Dragons	0	0	0	8	0	0	12000	12132	12731	1	0	500	19	30	30	40	60	5	0	2	5	Fireball Attack. Fire Shield. Immune to all spells. Hates Azure Dragons.
Dark Templar	Dark Templars	0	0	0	0	0	0	1600	3021	3730	2	0	180	5	15	15	20	40	0	1	4	10	Cast Death Ripple on the enemies. No Morale Penalty. Hates Templars.
Dark Paladin	Dark Paladins	0	0	1	0	0	0	3200	5654	7225	2	0	230	8	15	25	20	40	0	2	3	8	Cast Death Ripple on the enemies. No Morale Penalty. Fear Immunity. Hates Paladins.
Fallen Angel	Fallen Angels	0	1	0	0	0	0	3000	3585	5019	1	0	200	14	19	17	50	50	0	1	3	8	No Morale Penalty. Raise undead allies.
Angel of Death	Angels of Death	0	2	0	0	0	0	6000	12000	15000	1	0	300	14	25	23	38	75	0	2	2	5	No Morale Penalty. Summons Wights from fallen living allies.
Fearless. No Retaliation.
Winged Drake	Winged Drakes	0	0	0	0	0	0	1500	1954	2157	2	0	120	9	17	15	15	30	0	0	5	10	Fly. Poisonous. Breath Attack.
Lesser Dragon	Lesser Dragons	0	0	0	0	0	0	2500	2230	3100	2	0	150	9	18	17	20	35	0	0	4	10	Fly. Poisonous. Breath Attack. Dragon Will.
Fiend of Tartarus	Fiends of Tartarus	0	1	0	0	0	0	4500	5843	7715	1	0	250	12	26	28	30	45	0	0	3	8	Shooting Resistance by 30%.
Lord of Tartarus	Lords of Tartarus	0	2	0	0	0	0	9000	16250	23700	1	0	350	15	35	37	45	60	0	1	2	5	Shooting Resistance by 60%. Infernal Resurrection.





